Suburbs,PostCode,Soil Type,Dominant Soils,Soil PH,Crops
Aberfeldy,3825,Warragul with Silver Creek,Brown and Yellow Kandosols or Dermosols,6.1,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Agnes,3962,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Allambee,3823,Yarragon,Brown Dermosols and Hydrosols,6.2,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini', Carrot"
Almurta,3979,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Anderson,3995,Leongatha Sth,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5.0,Oats
Arawata,3951,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Archies Creek,3995,Leongatha Sth,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5.0,Oats
Athlone,3818,Ripplebrook,Redoxic Hydrosols,5.0,Oats
Bass,3991,Dalmore,Aquic and Black Vertosols,5.3,Oats
Bena,3946,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Berrys Creek,3953,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Bona Vista,3820,Warragul,Acidic Red Ferrosols,6.1,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Boolarra,3870,Warragul with Silver Creek,Brown and Yellow Kandosols or Dermosols,6.1,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Boolarra South,3870,Warragul with Silver Creek,Brown and Yellow Kandosols or Dermosols,6.1,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Brandy Creek,3821,riverine,Hydrosols,4.5,Oats
Budgeree,3870,Warragul with Silver Creek,Brown and Yellow Kandosols or Dermosols,6.1,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Buffalo,3958,Leongatha Sth,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5.0,Oats
Buln Buln,3821,riverine,Hydrosols,4.5,Oats
Callignee,3844,sand dune,Rudosols,4.5,Oats
Cape Woolamai,3925,Woolamai ,deep sands,6.1,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Childers,3824,Yarragon,Brown Dermosols and Hydrosols,6.2,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini', Carrot"
Churchill,3842,Boolarra with Morwell,Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Cloverlea,3822,Yarragon,Brown Dermosols and Hydrosols,6.2,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini', Carrot"
Coalville,3825,Leongatha Sth,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5.0,Oats
Corinella,3984,Monomeith with sandy rises,"Grey, Yellow and Brown Sodosols",4.5,Oats
Coronet Bay,3984,Monomeith with sandy rises,"Grey, Yellow and Brown Sodosols",4.5,Oats
Cowes,3922,Woolamai ,deep sands,6.1,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Crossover,3821,riverine,Hydrosols,4.5,Oats
Dalyston,3992,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Darnum,3822,Yarragon,Brown Dermosols and Hydrosols,6.2,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini', Carrot"
Delburn,3871,Silver Creek with Warragul, Brown and Yellow Kandosols or Dermosols ,6.1,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Dollar,3871,Silver Creek with Warragul, Brown and Yellow Kandosols or Dermosols ,6.1,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Driffield,3840,Boolarra with Morwell,Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Drouin,3818,Ripplebrook,Redoxic Hydrosols,5.0,Oats
Drouin West,3818,Ripplebrook,Redoxic Hydrosols,5.0,Oats
Dumbalk,3956,Inverloch,Parapanic Podosols with Grey Kurosols,5.3,Oats
Ellinbank,3821,riverine,Hydrosols,4.5,Oats
Erica,3825,sand dune,Aeric Podosols,4.5,Oats
Ferndale,3821,riverine,Hydrosols,4.5,Oats
Fish Creek,3959,sand dune,Aeric Podosols,4.5,Oats
Flynn,3844,sand dune,Rudosols,4.5,Oats
Foster,3960,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
French Island,3921,Nyora,Aeric Podosols,4.7,Oats
Fumina,3825,Jindivick,Dark brownish grey or grey sandy loams,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Glen Forbes,3990,French Island,Aeric and Aquic Podosols,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Glengarry,3854,Yinnar,Brown Dermosols and Vertosols,6.0,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Grantville,3984,Monomeith with sandy rises,"Grey, Yellow and Brown Sodosols",4.5,Oats
Hallora,3818,Ripplebrook,Redoxic Hydrosols,5.0,Oats
Hallston,3953,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Hazel Park,3966,Agnes,Yellow Kandosols,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Hazelwood,3840,Boolarra with Morwell,Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Hedley,3967,Agnes,Yellow Kandosols,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Hill End,3825,Jindivick,Dark brownish grey or grey sandy loams,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Icy Creek,3833,Jindivick,Dark brownish grey or grey sandy loams,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Inverloch,3996,riverine,Hydrosols,4.5,Oats
Jam Jerrup,3984,Monomeith with sandy rises,"Grey, Yellow and Brown Sodosols",4.5,Oats
Jeeralang,3840,Boolarra with Morwell,Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Jeeralang Junction,3840,Boolarra with Morwell,Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Jeetho,3945,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Jindivick,3818,Ripplebrook,Redoxic Hydrosols,5.0,Oats
Jumbuk,3869,Boolarra with Morwell,Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Jumbunna,3951,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Kardella,3951,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Kernot,3979,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Kilcunda,3995,Leongatha Sth,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5.0,Oats
Kongwak,3951,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Koonwarra,3954,Koonwarra,Yellow and Grey Sodosols,5.7,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Koornalla,3844,sand dune,Rudosols,4.5,Oats
Korumburra,3950,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Krowera,3945,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Labertouche,3816,Narre,Yellow and Grey Sodosols,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Lardner,3821,riverine,Hydrosols,4.5,Oats
Leongatha,3953,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Lillico,3820,Warragul,Acidic Red Ferrosols,6.1,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Loch,3945,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Longwarry,3816,Narre,Yellow and Grey Sodosols,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Mardan,3953,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
McMahons Creek,3799,Warragul ,Acidic Red Ferrosols ,6.1,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Meeniyan,3956,Inverloch,Parapanic Podosols with Grey Kurosols,5.3,Oats
Mirboo,3871,Silver Creek with Warragul, Brown and Yellow Kandosols or Dermosols ,6.1,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Mirboo North,3871,Silver Creek with Warragul, Brown and Yellow Kandosols or Dermosols ,6.1,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Modella,3816,Narre,Yellow and Grey Sodosols,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Moe,3825,Moe ,heavy clay loams,7.0,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Morwell,3840,Boolarra with Morwell,Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Narracan,3824,Yarragon,Brown Dermosols and Hydrosols,6.2,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini', Carrot"
Nayook,3832,Warragul with Nerrim South,Acidic Red Ferrosols ,6.1,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Neerim,3831,Warragul with Nerrim South,Acidic Red Ferrosols,6.1,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Neerim South,3831,Warragul with Nerrim South,Acidic Red Ferrosols,6.1,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Newborough,3825,Narre,Yellow and Grey Sodosols,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Newhaven,3925,Yinnar,Brown Dermosols and Vertosols,6.0,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Nilma,3821,riverine,Hydrosols,4.5,Oats
Nilma North,3821,riverine,Hydrosols,4.5,Oats
Noojee,3833,Jindivick,Dark brownish grey or grey sandy loams,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
North Wonthaggi,3995,Leongatha Sth,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5.0,Oats
Nyora,3987,Athlone,Acidic Yellow Dermosols,5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Outtrim,3951,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Piedmont,3833,Jindivick,Dark brownish grey or grey sandy loams,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Pioneer Bay,3984,Monomeith with sandy rises,"Grey, Yellow and Brown Sodosols",4.5,Oats
Poowong,3988,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Port Franklin,3964,Agnes,Yellow Kandosols,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Port Welshpool,3965,Leongatha Sth,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5.0,Oats
Ranceby,3951,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Rawson,3825,riverine,Hydrosols,4.5,Oats
Rhyll,3923,Red Hill,Red Chromosol,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Rokeby,3821,riverine,Hydrosols,4.5,Oats
Ruby,3953,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
San Remo,3925,Koonwarra,Brown Kurosols ,5.7,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Sandy Point,3959,sand dune,Aeric Podosols,4.5,Oats
Shady Creek,3821,riverine,Hydrosols,4.5,Oats
Silverleaves,3922,riverine,Hydrosols,4.5,Oats
South Dudley,3995,Leongatha Sth,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5.0,Oats
Stony Creek,3371,Koonwarra,Brown Kurosols ,5.7,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Stony Creek,3957,Koonwarra,Brown Kurosols ,5.7,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Strzelecki,3950,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Sunderland Bay,3922,Phillip Island,Red Chromosol ,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Sunset Strip,3922,Phillip Island,Red Chromosol ,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Surf Beach,3922,Phillip Island,Red Chromosol ,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Tanjil Bren,3833,Jindivick,Dark brownish grey or grey sandy loams,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Tanjil South,3825,Jindivick,Dark brownish grey or grey sandy loams,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Tarwin,3956,Inverloch,Parapanic Podosols with Grey Kurosols,5.3,Oats
Tarwin Lower,3956,Inverloch,Parapanic Podosols with Grey Kurosols,5.3,Oats
Tenby Point,3984,Monomeith with sandy rises,"Grey, Yellow and Brown Sodosols",4.5,Oats
The Gurdies,3984,Monomeith with sandy rises,"Grey, Yellow and Brown Sodosols",4.5,Oats
Thorpdale,3835,Warragul,Acidic Red Ferrosols,6.1,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Toongabbie,3856,Toongabbie,Yellow and Brown Sodosols,5.2,Oats
Toora,3962,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Torwood,3821,riverine,Hydrosols,4.5,Oats
Trafalgar,3824,Yarragon,Brown Dermosols and Hydrosols,6.2,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini', Carrot"
Trafalgar East,3824,Yarragon,Brown Dermosols and Hydrosols,6.2,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini', Carrot"
Trafalgar South,3824,Yarragon,Brown Dermosols and Hydrosols,6.2,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini', Carrot"
Traralgon,3844,sand dune,Rudosols,4.5,Oats
Traralgon South,3844,sand dune,Rudosols,4.5,Oats
Trida,3953,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Turtons Creek,3960,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Tyers,3844,sand dune,Rudosols,4.5,Oats
Ventnor,3922,Yinnar,Brown and Grey Chromosols ,6.0,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Venus Bay,3956,Inverloch,Parapanic Podosols with Grey Kurosols,5.3,Oats
Vesper,3833,Jindivick,Dark brownish grey or grey sandy loams,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Walhalla,3825,Yinnar,Brown and Grey Chromosols,6.0,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Walkerville,3956,Inverloch,Parapanic Podosols with Grey Kurosols,5.3,Oats
Waratah Bay,3959,sand dune,Aeric Podosols,4.5,Oats
Warragul,3820,Warragul,Acidic Red Ferrosols,6.1,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Wattle Bank,3995,Leongatha Sth,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5.0,Oats
Welshpool,3966,Agnes,Yellow Kandosols,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
West Creek,3992,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Westbury,3825,riverine,Hydrosols,4.5,Oats
Willow Grove,3825,Darnum,Brown podzolic,5.8,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Wimbledon Heights,3922,sand dune,Aeric Podosols,4.5,Oats
Wonga,3960,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Wonthaggi,3995,Leongatha Sth,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5.0,Oats
Woodleigh,3945,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Woolamai,3995,Leongatha Sth,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5.0,Oats
Yallourn,3825,Inverloch,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5.3,Oats
Yallourn North,3825,Inverloch,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5.3,Oats
Yanakie,3960,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Yarragon,3823,Yarragon,Brown Dermosols and Hydrosols,6.2,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini', Carrot"
Yinnar,3869,Boolarra with Morwell,Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
Yinnar South,3869,Boolarra with Morwell,Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols,5.5,"'Celery', 'Eggplant', 'Potato', 'Rice', 'Tomato', 'Cucumber', 'Zucchini'"
